"","AAPL","MSFT","GOOGL","AMZN","META","NVDA","ORCL","CRM","INTC","AMD"
"1 Sem","49.72%","42.67%","35.67%","55.19%","138.47%","189.54%","46.85%","59.33%","28.59%","75.87%"
"2 Sem","-0.48%","10.88%","16.7%","16.55%","23.34%","17.09%","-10.83%","24.56%","51.31%","29.41%"
"3 Sem","9.68%","19.29%","30.55%","27.19%","42.74%","149.5%","34.88%","-2.17%","-37.94%","10.04%"
"4 Sem","19.17%","-5.34%","4.18%","13.53%","16.33%","8.72%","18.62%","30.59%","-34.85%","-25.53%"
"5 Sem","-17.87%","18.46%","-6.68%","0%","26.27%","17.67%","31.99%","-18.18%","11.72%","17.48%"
